地市名称,区县名称,站点名称,经度,纬度
济南,历下区,市监测站 ,117.0486111,36.66222222
济南,历下区,山东经济学院,117.0688889,36.63777778
济南,历下区,高新学校,117.1655556,36.64611111
济南,历下区,泉城广场,117.0211111,36.66138889
济南,市中区,科干所,116.9880556,36.61138889
济南,市中区,山东鲁能,117.0241667,36.59277778
济南,槐荫区,农科所,116.945,36.663
济南,槐荫区, 机床二厂,116.9427778,36.64088889
济南,天桥区,兰翔技校,116.9477778,36.70027778
济南,天桥区,化工厂,116.9886111,36.68722222
济南,历城区,省种子仓库,117.0602778,36.68527778
济南,历城区,山东建筑大学,117.1858333,36.68138889
济南,历城区,宝胜电缆,117.1247222,36.72256667
济南,历城区,跑马岭,117.2130556,36.4785
济南,长清区,长清区委党校,116.7651667,36.54861111
济南,高新区,开发区 ,117.1247222,36.68538889
青岛,市南区,市南区东部子站,120.403259,36.06525
青岛,市南区,市南区西部子站,120.294134,36.054169
青岛,市北区,市北区子站,120.336184,36.069711
青岛,市北区,四方区子站,120.36125,36.103886
青岛,黄岛区,黄岛区子站,120.185909,35.958797
青岛,黄岛区,黄岛区北部,120.155109,35.970289
青岛,崂山区,崂山区子站,120.446784,36.085636
青岛,崂山区,仰口,120.660697,36.240156
青岛,崂山区,崂山区中部,120.48547,36.090925
青岛,李沧区,李沧区子站,120.380186,36.18457
青岛,李沧区,李沧区南部,120.427178,36.154078
青岛,城阳区,城阳区子站,120.39492,36.308156
青岛,城阳区,城阳区南部,120.460772,36.308156
淄博,淄川区,淄川气象站,117.9544444,36.63777778
淄博,淄川区,凤凰山,117.9233333,36.66555556
淄博,张店区,人民公园,118.0422222,36.80833333
淄博,张店区,东风化工厂,118.0447222,36.83805556
淄博,张店区,新区,118.0175,36.84333333
淄博,张店区,南定,118.0244444,36.80305556
淄博,博山区,博山双山,117.8477778,36.49722222
淄博,博山区,青龙山,117.8702778,36.45972222
淄博,临淄区,临淄莆田园,118.3091667,36.81972222
淄博,临淄区,齐鲁石化,118.2491667,36.76555556
淄博,周村区,周村三金集团,117.8511111,36.80416667
淄博,周村区,职业学院 ,117.9205556,36.825
淄博,开发区,开发区,118.0158333,36.90472222
枣庄,市中区,市中区政府,117.5638889,34.85138889
枣庄,市中区,污水处理厂    ,117.5897222,34.82
枣庄,薛城区,薛城区环保局,117.2666667,34.79111111
枣庄,峄城区,峄城区政府,117.5708333,34.77388889
枣庄,台儿庄区,台儿庄环保局,117.7352778,34.58055556
枣庄,山亭区,山亭区环保局,117.4516667,35.07083333
枣庄,新城区,市环保局       ,117.3147222,34.81027778
枣庄,开发区,高新区,117.3575,34.8225
东营,东城区,市环保局 ,118.6672222,37.43138889
东营,东城区,广南水库,118.8191667,37.37805556
东营,东城区,职业学院,118.625,37.43805556
东营,东城区,现河采油厂,118.5044444,37.44166667
东营,东营区,耿井村,118.5527778,37.44444444
东营,东营区,市环保公司,118.5022222,37.46583333
东营,东营区,胜利医院,118.6408333,37.47222222
东营,河口区,河口区,118.5163889,37.88305556
东营,开发区,开发区  ,118.6961111,37.43444444
烟台,芝罘区,轴承厂,121.371706,37.54311096
烟台,芝罘区,西郊化工站,121.3185607,37.546224
烟台,芝罘区,鲁东大学,121.3553673,37.52368316
烟台,福山区,福山区监测站,121.2550926,37.47141415
烟台,牟平区,牟平区环保局,121.5817255,37.37605485
烟台,莱山区,莱山区环保局,121.4430704,37.47743887
烟台,莱山区,莱山盛泉工业园,121.4031242,37.42609554
烟台,经济技术开发区,开发区环保局,121.2529217,37.5599778
烟台,经济技术开发区,开发区B 区,121.1421659,37.60240665
烟台,经济技术开发区,大季家,121.0662505,37.67283315
